Month,Price,Change
Dec-91,361.73,-
Jan-92,354.45,-2.01%
Feb-92,353.91,-0.15%
Mar-92,344.34,-2.70%
Apr-92,338.62,-1.66%
May-92,337.24,-0.41%
Jun-92,340.81,1.06%
Jul-92,352.72,3.49%
Aug-92,343.06,-2.74%
Sep-92,345.43,0.69%
Oct-92,344.38,-0.30%
Nov-92,335.02,-2.72%
Dec-92,334.82,-0.06%
Jan-93,329.01,-1.74%
Feb-93,329.31,0.09%
Mar-93,330.08,0.23%
Apr-93,342.15,3.66%
May-93,367.18,7.32%
Jun-93,371.89,1.28%
Jul-93,392.19,5.46%
Aug-93,378.84,-3.40%
Sep-93,355.28,-6.22%
Oct-93,364.18,2.51%
Nov-93,373.83,2.65%
Dec-93,383.3,2.53%
Jan-94,386.88,0.93%
Feb-94,381.91,-1.28%
Mar-94,384.13,0.58%
Apr-94,377.27,-1.79%
May-94,381.43,1.10%
Jun-94,385.64,1.10%
Jul-94,385.49,-0.04%
Aug-94,380.36,-1.33%
Sep-94,391.58,2.95%
Oct-94,389.77,-0.46%
Nov-94,384.39,-1.38%
Dec-94,379.29,-1.33%
Jan-95,378.55,-0.20%
Feb-95,376.64,-0.50%
Mar-95,382.12,1.45%
Apr-95,391.03,2.33%
May-95,385.22,-1.49%
Jun-95,387.56,0.61%
Jul-95,386.23,-0.34%
Aug-95,383.67,-0.66%
Sep-95,383.06,-0.16%
Oct-95,383.14,0.02%
Nov-95,385.31,0.57%
Dec-95,387.44,0.55%
Jan-96,399.45,3.10%
Feb-96,404.76,1.33%
Mar-96,396.21,-2.11%
Apr-96,392.85,-0.85%
May-96,391.93,-0.23%
Jun-96,385.27,-1.70%
Jul-96,383.47,-0.47%
Aug-96,387.35,1.01%
Sep-96,383.14,-1.09%
Oct-96,381.07,-0.54%
Nov-96,377.85,-0.84%
Dec-96,369,-2.34%
Jan-97,355.11,-3.76%
Feb-97,346.58,-2.40%
Mar-97,351.81,1.51%
Apr-97,344.47,-2.09%
May-97,343.84,-0.18%
Jun-97,340.76,-0.90%
Jul-97,324.1,-4.89%
Aug-97,324.01,-0.03%
Sep-97,322.82,-0.37%
Oct-97,324.87,0.64%
Nov-97,306.04,-5.80%
Dec-97,288.74,-5.65%
Jan-98,289.1,0.12%
Feb-98,297.49,2.90%
Mar-98,295.94,-0.52%
Apr-98,308.29,4.17%
May-98,299.1,-2.98%
Jun-98,292.32,-2.27%
Jul-98,292.87,0.19%
Aug-98,284.11,-2.99%
Sep-98,288.98,1.71%
Oct-98,295.93,2.41%
Nov-98,294.12,-0.61%
Dec-98,291.68,-0.83%
Jan-99,287.08,-1.58%
Feb-99,287.33,0.09%
Mar-99,285.96,-0.48%
Apr-99,282.62,-1.17%
May-99,276.44,-2.19%
Jun-99,261.31,-5.47%
Jul-99,256.08,-2.00%
Aug-99,256.69,0.24%
Sep-99,264.74,3.14%
Oct-99,310.72,17.37%
Nov-99,293.18,-5.64%
Dec-99,283.07,-3.45%
Jan-00,284.32,0.44%
Feb-00,299.86,5.47%
Mar-00,286.39,-4.49%
Apr-00,279.69,-2.34%
May-00,275.19,-1.61%
Jun-00,285.73,3.83%
Jul-00,281.59,-1.45%
Aug-00,274.47,-2.53%
Sep-00,273.68,-0.29%
Oct-00,270,-1.34%
Nov-00,266.01,-1.48%
Dec-00,271.45,2.05%
1-Jan,265.49,-2.20%
1-Feb,261.87,-1.36%
1-Mar,263.03,0.44%
1-Apr,260.48,-0.97%
1-May,272.36,4.56%
1-Jun,270.23,-0.78%
1-Jul,267.53,-1.00%
1-Aug,272.39,1.82%
1-Sep,283.42,4.05%
1-Oct,283.06,-0.13%
1-Nov,276.16,-2.44%
1-Dec,275.85,-0.11%
2-Jan,281.51,2.05%
2-Feb,295.5,4.97%
2-Mar,294.06,-0.49%
2-Apr,302.68,2.93%
2-May,314.49,3.90%
2-Jun,321.18,2.13%
2-Jul,313.29,-2.46%
2-Aug,310.26,-0.97%
2-Sep,319.14,2.86%
2-Oct,316.56,-0.81%
2-Nov,319.07,0.79%
2-Dec,331.92,4.03%
3-Jan,356.86,7.51%
3-Feb,358.97,0.59%
3-Mar,340.55,-5.13%
3-Apr,328.18,-3.63%
3-May,355.68,8.38%
3-Jun,356.35,0.19%
3-Jul,351.02,-1.50%
3-Aug,359.77,2.49%
3-Sep,378.95,5.33%
3-Oct,378.92,-0.01%
3-Nov,389.91,2.90%
3-Dec,406.95,4.37%
4-Jan,413.79,1.68%
4-Feb,404.88,-2.15%
4-Mar,406.67,0.44%
4-Apr,403.26,-0.84%
4-May,383.78,-4.83%
4-Jun,392.37,2.24%
4-Jul,398.09,1.46%
4-Aug,400.51,0.61%
4-Sep,405.28,1.19%
4-Oct,420.46,3.75%
4-Nov,439.38,4.50%
4-Dec,442.08,0.61%
5-Jan,424.03,-4.08%
5-Feb,423.35,-0.16%
5-Mar,433.85,2.48%
5-Apr,429.23,-1.06%
5-May,421.87,-1.71%
5-Jun,430.66,2.08%
5-Jul,424.48,-1.44%
5-Aug,437.93,3.17%
5-Sep,456.05,4.14%
5-Oct,469.9,3.04%
5-Nov,476.67,1.44%
5-Dec,510.1,7.01%
6-Jan,549.86,7.79%
6-Feb,555,0.93%
6-Mar,557.09,0.38%
6-Apr,610.65,9.61%
6-May,675.39,10.60%
6-Jun,596.15,-11.73%
6-Jul,633.71,6.30%
6-Aug,632.59,-0.18%
6-Sep,598.19,-5.44%
6-Oct,585.78,-2.07%
6-Nov,627.83,7.18%
6-Dec,629.79,0.31%
7-Jan,631.17,0.22%
7-Feb,664.75,5.32%
7-Mar,654.9,-1.48%
7-Apr,679.37,3.74%
7-May,667.31,-1.78%
7-Jun,655.66,-1.75%
7-Jul,665.38,1.48%
7-Aug,665.41,0.00%
7-Sep,712.65,7.10%
7-Oct,754.6,5.89%
7-Nov,806.25,6.84%
7-Dec,803.2,-0.38%
8-Jan,889.6,10.76%
8-Feb,922.3,3.68%
8-Mar,968.43,5.00%
8-Apr,909.71,-6.06%
8-May,888.66,-2.31%
8-Jun,889.49,0.09%
8-Jul,939.77,5.65%
8-Aug,839.03,-10.72%
8-Sep,829.93,-1.08%
8-Oct,806.62,-2.81%
8-Nov,760.86,-5.67%
8-Dec,816.09,7.26%
9-Jan,858.69,5.22%
9-Feb,943,9.82%
9-Mar,924.27,-1.99%
9-Apr,890.2,-3.69%
9-May,928.65,4.32%
9-Jun,945.67,1.83%
9-Jul,934.23,-1.21%
9-Aug,949.38,1.62%
9-Sep,996.59,4.97%
9-Oct,1043.16,4.67%
9-Nov,1127.04,8.04%
9-Dec,1134.72,0.68%
10-Jan,1117.96,-1.48%
10-Feb,1095.41,-2.02%
10-Mar,1113.34,1.64%
10-Apr,1148.69,3.18%
10-May,1205.43,4.94%
10-Jun,1232.92,2.28%
10-Jul,1192.97,-3.24%
10-Aug,1215.81,1.91%
10-Sep,1270.98,4.54%
10-Oct,1342.02,5.59%
10-Nov,1369.89,2.08%
10-Dec,1390.55,1.51%
11-Jan,1360.46,-2.16%
11-Feb,1374.68,1.05%
11-Mar,1423.26,3.53%
11-Apr,1480.89,4.05%
11-May,1512.58,2.14%
11-Jun,1529.36,1.11%
11-Jul,1572.75,2.84%
11-Aug,1759.01,11.84%
11-Sep,1772.14,0.75%
11-Oct,1666.43,-5.97%
11-Nov,1739,4.35%
11-Dec,1639.97,-5.69%
12-Jan,1654.05,0.86%
12-Feb,1744.82,5.49%
12-Mar,1675.95,-3.95%
12-Apr,1649.2,-1.60%
12-May,1589.04,-3.65%
12-Jun,1598.76,0.61%
12-Jul,1594.29,-0.28%
12-Aug,1630.31,2.26%
12-Sep,1744.81,7.02%
12-Oct,1746.58,0.10%
12-Nov,1721.64,-1.43%
12-Dec,1684.76,-2.14%
13-Jan,1671.85,-0.77%
13-Feb,1627.57,-2.65%
13-Mar,1593.09,-2.12%
13-Apr,1487.86,-6.61%
13-May,1414.03,-4.96%
13-Jun,1343.35,-5.00%
13-Jul,1285.52,-4.30%
13-Aug,1351.74,5.15%
13-Sep,1348.6,-0.23%
13-Oct,1316.58,-2.37%
13-Nov,1275.86,-3.09%
13-Dec,1221.51,-4.26%
14-Jan,1244.27,1.86%
14-Feb,1299.58,4.45%
14-Mar,1336.08,2.81%
14-Apr,1298.45,-2.82%
14-May,1288.74,-0.75%
14-Jun,1279.1,-0.75%
14-Jul,1310.59,2.46%
14-Aug,1295.13,-1.18%
14-Sep,1236.55,-4.52%
14-Oct,1222.49,-1.14%
14-Nov,1175.33,-3.86%
14-Dec,1200.62,2.15%
15-Jan,1250.75,4.18%
15-Feb,1227.08,-1.89%
15-Mar,1178.63,-3.95%
15-Apr,1198.93,1.72%
15-May,1198.63,-0.03%
15-Jun,1181.5,-1.43%
15-Jul,1128.31,-4.50%
15-Aug,1117.93,-0.92%
15-Sep,1124.77,0.61%
15-Oct,1159.25,3.07%
15-Nov,1086.44,-6.28%
15-Dec,1075.74,-0.98%
16-Jan,1097.91,2.06%
16-Feb,1199.5,9.25%
16-Mar,1245.14,3.80%
16-Apr,1242.26,-0.23%
16-May,1260.95,1.50%
16-Jun,1276.4,1.23%
16-Jul,1336.66,4.72%
16-Aug,1340.17,0.26%
16-Sep,1326.61,-1.01%
16-Oct,1266.55,-4.53%
16-Nov,1238.35,-2.23%
16-Dec,1157.36,-6.54%
17-Jan,1192.1,3.00%
17-Feb,1234.2,3.53%
17-Mar,1231.42,-0.23%
17-Apr,1266.88,2.88%
17-May,1246.04,-1.64%
17-Jun,1260.26,1.14%
17-Jul,1236.84,-1.86%
17-Aug,1283.04,3.74%
17-Sep,1314.07,2.42%
17-Oct,1279.51,-2.63%
17-Nov,1281.9,0.19%
17-Dec,1264.45,-1.36%
18-Jan,1331.3,5.29%
18-Feb,1330.73,-0.04%
18-Mar,1324.66,-0.46%
18-Apr,1334.76,0.76%
18-May,1303.45,-2.35%
18-Jun,1281.57,-1.68%
18-Jul,1237.71,-3.42%
18-Aug,1201.71,-2.91%
18-Sep,1198.39,-0.28%
18-Oct,1215.39,1.42%
18-Nov,1220.65,0.43%
18-Dec,1250.4,2.44%
19-Jan,1291.75,3.31%
19-Feb,1320.07,2.19%
19-Mar,1300.9,-1.45%
19-Apr,1285.91,-1.15%
19-May,1283.7,-0.17%
19-Jun,1359.04,5.87%
19-Jul,1412.89,3.96%
19-Aug,1500.41,6.19%
19-Sep,1510.58,0.68%
19-Oct,1494.81,-1.04%
19-Nov,1470.79,-1.61%
19-Dec,1479.13,0.57%
20-Jan,1560.67,5.51%
20-Feb,1597.1,2.33%
20-Mar,1591.93,-0.32%
20-Apr,1683.17,5.73%
20-May,1715.91,1.95%
20-Jun,1732.22,0.95%
20-Jul,1846.51,6.60%
20-Aug,1968.63,6.61%
20-Sep,1921.92,-2.37%
20-Oct,1900.27,-1.13%
20-Nov,1866.3,-1.79%
20-Dec,1858.42,-0.42%
21-Jan,1866.98,0.46%
21-Feb,1808.17,-3.15%
21-Mar,1718.23,-4.97%
21-Apr,1760.04,2.43%
21-May,1850.26,5.13%
21-Jun,1834.57,-0.85%
21-Jul,1807.84,-1.46%
21-Aug,1785.28,-1.25%
21-Sep,1775.14,-0.57%
21-Oct,1776.85,0.10%
21-Nov,1821.76,2.53%